id,title,about_text,link_url,thumb_url,category_id,author_id,status,post_date,tags,Category (not in DB),Author(not in DB)
1,It's Nice That,,http://asset3.itsnicethat.com/system/files/072012/4ff57dcf5c3e3c39a6002f81/img_col_main/LEAD.jpg?1341492401,http://asset3.itsnicethat.com/system/files/072012/4ff57dcf5c3e3c39a6002f81/img_col_main/LEAD.jpg?1341492401,5,1,Active,,,Design,Andre
2,It's Nice That,,http://asset3.itsnicethat.com/system/files/052012/4fc79a805c3e3c418100e676/img_col_main/SP.jpg?1338481278 ,http://asset3.itsnicethat.com/system/files/052012/4fc79a805c3e3c418100e676/img_col_main/SP.jpg?1338481278,5,1,Active,,,Design,Andre
3,Archidose Blog,,http://archidose.org/wp/wp-content/uploads/2012/08/Aug12-06.jpg ,http://archidose.org/wp/wp-content/uploads/2012/08/Aug12-06.jpg,5,1,Active,,,Design,Andre
4,Archidose Blog,,http://farm9.staticflickr.com/8156/7486695504_7f7f88ff17_z.jpg ,http://farm9.staticflickr.com/8156/7486695504_7f7f88ff17_z.jpg,5,1,Active,,,Design,Andre
5,Archidose Blog,,http://www.flickr.com/photos/kenlee2010/7486695688/ ,http://farm9.staticflickr.com/8150/7486695688_f781459ae1_b.jpg,5,1,Active,,,Design,Andre
6,Archidose Blog,,http://farm9.staticflickr.com/8009/7512106246_e266a724c1_z.jpg ,http://farm9.staticflickr.com/8009/7512106246_e266a724c1_z.jpg,5,1,Active,,,Design,Andre
7,Archidose Blog,,http://www.flickr.com/photos/picturenarrative/7511660432/ ,http://farm8.staticflickr.com/7127/7511660432_e1a4627ec9_b.jpg,5,1,Active,,,Design,Andre
8,100 Percent Design,,http://www.100percentdesign.net/files/designshare/unstudio1_0.jpg?0 ,http://www.100percentdesign.net/files/designshare/unstudio1_0.jpg?0,5,1,Active,,,Design,Andre
9,100 Percent Design,,http://www.100percentdesign.net/files/designshare/unstudiomuseum2.jpg?0 ,http://www.100percentdesign.net/files/designshare/unstudiomuseum2.jpg?0,5,1,Active,,,Design,Andre
10,100 Percent Design,,http://www.100percentdesign.net/files/shanghaicentre-small.jpg?0 ,http://www.100percentdesign.net/files/shanghaicentre-small.jpg?0,5,1,Active,,,Design,Andre
11,100 Percent Design,,http://www.100percentdesign.net/files/w_2.jpg?0 ,http://www.100percentdesign.net/files/w_2.jpg?0,5,1,Active,,,Design,Andre
12,100 Percent Design,,http://www.100percentdesign.net/files/u15/Louvre-zaha-2.jpg ,http://www.100percentdesign.net/files/u15/Louvre-zaha-2.jpg,5,1,Active,,,Design,Andre
13,100 Percent Design,,http://www.100percentdesign.net/files/expocentre3_1.jpg?0 ,http://www.100percentdesign.net/files/expocentre3_1.jpg?0,5,1,Active,,,Design,Andre
14,100 Percent Design,,http://www.100percentdesign.net/files/zaha_blob5_0.jpg?0 ,http://www.100percentdesign.net/files/zaha_blob5_0.jpg?0,5,1,Active,,,Design,Andre
15,100 Percent Design,,http://www.100percentdesign.net/files/tunnel_house.jpg?0 ,http://www.100percentdesign.net/files/tunnel_house.jpg?0,5,1,Active,,,Design,Andre
16,100 Percent Design,,http://www.100percentdesign.net/design/go-china-0,http://www.100percentdesign.net/files/cctv_1.jpg?0,5,1,Active,,,Design,Andre
17,100 Percent Design,,http://www.100percentdesign.net/design/dasparkhotel-made-recycled-pipes ,http://www.100percentdesign.net/files/pipehotel1.jpg?0,5,1,Active,,,Design,Andre
18,100 Percent Design,,http://www.100percentdesign.net/design/nestle-chocolate-museum ,http://www.100percentdesign.net/files/architect-directory.jpg,5,1,Active,,,Design,Andre
19,100 Percent Design,,http://www.100percentdesign.net/design/museum-cagliari ,http://www.100percentdesign.net/files/Betile-Museum-competition_0.jpg?0,5,1,Active,,,Design,Andre
20,100 Percent Design,,http://www.100percentdesign.net/design/opus-tower ,http://www.100percentdesign.net/files/Opus-Tower-by-Zaha-Hadid.jpg?0,5,1,Active,,,Design,Andre
21,100 Percent Design,,http://www.100percentdesign.net/files/14/royal_ontario_museum_daniel.jpg ,http://www.100percentdesign.net/files/14/royal_ontario_museum_daniel.jpg,5,1,Active,,,Design,Andre
22,Design Milk,,http://1.design-milk.com/images/2012/08/Casa-Las-Lomas-1.jpg ,http://1.design-milk.com/images/2012/08/Casa-Las-Lomas-1.jpg,5,1,Active,,,Design,Andre
23,Design Milk,,http://2.design-milk.com/images/2012/08/Magma-Olympic-1.jpg ,http://2.design-milk.com/images/2012/08/Magma-Olympic-1.jpg,5,1,Active,,,Design,Andre
24,Design Milk,,http://1.design-milk.com/images/2012/07/Librizzi-HouseC-1.jpg ,http://1.design-milk.com/images/2012/07/Librizzi-HouseC-1.jpg,5,1,Active,,,Design,Andre
25,Design Milk,,http://0.design-milk.com/images/2012/06/Cloud-House-1.jpg ,http://0.design-milk.com/images/2012/06/Cloud-House-1.jpg,5,1,Active,,,Design,Andre
26,Design Milk,,http://0.design-milk.com/images/2012/06/BoA-House-1.jpg ,http://0.design-milk.com/images/2012/06/BoA-House-1.jpg,5,1,Active,,,Design,Andre
27,Design Milk,,http://2.design-milk.com/images/2012/07/autospace.jpg ,http://2.design-milk.com/images/2012/07/autospace.jpg,5,1,Active,,,Design,Andre
28,Design Milk,,http://2.design-milk.com/images/2012/06/Rosemont-1.jpg ,http://2.design-milk.com/images/2012/06/Rosemont-1.jpg,5,1,Active,,,Design,Andre
29,Design Milk,,http://3.design-milk.com/images/2012/05/Casa-La-Punta-1.jpg ,http://3.design-milk.com/images/2012/05/Casa-La-Punta-1.jpg,5,1,Active,,,Design,Andre
30,Design Milk,,http://1.design-milk.com/images/2012/05/Casa-De-Playa-1.jpg ,http://1.design-milk.com/images/2012/05/Casa-De-Playa-1.jpg,5,1,Active,,,Design,Andre
31,Design Milk,,http://1.design-milk.com/images/2012/05/SIP-Panel-House-1.jpg ,http://1.design-milk.com/images/2012/05/SIP-Panel-House-1.jpg,5,1,Active,,,Design,Andre
32,Design Milk,,http://2.design-milk.com/images/2012/05/Robin-Falck-Cabin-1.jpg ,http://2.design-milk.com/images/2012/05/Robin-Falck-Cabin-1.jpg,5,1,Active,,,Design,Andre
33,Design Milk,,http://0.design-milk.com/images/2012/03/Snohetta-Reindeer-1.jpg ,http://0.design-milk.com/images/2012/03/Snohetta-Reindeer-1.jpg,5,1,Active,,,Design,Andre
34,Design Milk,,http://1.design-milk.com/images/2012/03/Nett199-SAOTA-1.jpg ,http://1.design-milk.com/images/2012/03/Nett199-SAOTA-1.jpg,5,1,Active,,,Design,Andre
35,Design Milk,,http://2.design-milk.com/images/2012/03/Metropolis-Spa-House-1.jpg ,http://2.design-milk.com/images/2012/03/Metropolis-Spa-House-1.jpg,5,1,Active,,,Design,Andre
36,Design Milk,,http://2.design-milk.com/images/2012/03/2_Rieteiland_House_Garden_elevation.jpg ,http://2.design-milk.com/images/2012/03/2_Rieteiland_House_Garden_elevation.jpg,5,1,Active,,,Design,Andre
37,Design Milk,,http://1.design-milk.com/images/2012/03/leibal_ring_apollo_1.jpg ,http://1.design-milk.com/images/2012/03/leibal_ring_apollo_1.jpg,5,1,Active,,,Design,Andre
38,Design Milk,,http://0.design-milk.com/images/2012/03/Anastasia-Belvedere-12.jpg ,http://0.design-milk.com/images/2012/03/Anastasia-Belvedere-12.jpg,5,1,Active,,,Design,Andre
39,Design Milk,,http://0.design-milk.com/images/2012/03/birdsnestbed-1.jpg ,http://0.design-milk.com/images/2012/03/birdsnestbed-1.jpg,5,1,Active,,,Design,Andre
40,Design Milk,,http://2.design-milk.com/images/2012/03/AMA-mews-02-1-e1331042603957.jpg ,http://2.design-milk.com/images/2012/03/AMA-mews-02-1-e1331042603957.jpg,5,1,Active,,,Design,Andre
41,Design Milk,,http://1.design-milk.com/images/2012/01/amanzi-1-ext-with-pool.jpg ,http://1.design-milk.com/images/2012/01/amanzi-1-ext-with-pool.jpg,5,1,Active,,,Design,Andre
42,Design Milk,,http://1.design-milk.com/images/2011/11/bagno_kstudio_1.jpg ,http://1.design-milk.com/images/2011/11/bagno_kstudio_1.jpg,5,1,Active,,,Design,Andre
43,Design Milk,,http://2.design-milk.com/images/2011/10/dune-house-JVA-1.jpg ,http://2.design-milk.com/images/2011/10/dune-house-JVA-1.jpg,5,1,Active,,,Design,Andre
44,Design Milk,,http://www.roca.com/roca-london-gallery ,,5,1,Active,,,Design,Andre
45,Design Milk,,http://1.design-milk.com/images/2011/09/dakar-sow-saota-1.jpg ,http://1.design-milk.com/images/2011/09/dakar-sow-saota-1.jpg,5,1,Active,,,Design,Andre
46,Design Milk,,http://0.design-milk.com/images/2011/08/lugano_jma_2.jpg ,http://0.design-milk.com/images/2011/08/lugano_jma_2.jpg,5,1,Active,,,Design,Andre
47,Design Milk,,http://1.design-milk.com/images/2011/07/palms-house-schmidt-2.jpg ,http://1.design-milk.com/images/2011/07/palms-house-schmidt-2.jpg,5,1,Active,,,Design,Andre
48,Design Milk,,http://1.design-milk.com/images/2011/06/totems-studio-hive-4.jpg ,http://1.design-milk.com/images/2011/06/totems-studio-hive-4.jpg,5,1,Active,,,Design,Andre
49,Design Milk,,http://3.design-milk.com/images/2011/06/appleton-residence-1.jpg ,http://3.design-milk.com/images/2011/06/appleton-residence-1.jpg,5,1,Active,,,Design,Andre
50,Design Milk,,http://0.design-milk.com/images/2011/05/torres-house-1.jpg ,http://0.design-milk.com/images/2011/05/torres-house-1.jpg,5,1,Active,,,Design,Andre
51,Design Milk,,http://1.design-milk.com/images/2011/03/first-crescent-1.jpg ,http://1.design-milk.com/images/2011/03/first-crescent-1.jpg,5,1,Active,,,Design,Andre
52,Design Milk,,http://3.design-milk.com/images/2011/03/fogo-island-studios-1.jpg ,http://3.design-milk.com/images/2011/03/fogo-island-studios-1.jpg,5,1,Active,,,Design,Andre
53,Design Milk,,http://3.design-milk.com/images/2011/03/woven-nest-1.jpg,http://3.design-milk.com/images/2011/03/woven-nest-1.jpg,5,1,Active,,,Design,Andre
54,Design Milk,,http://1.design-milk.com/images/2011/03/pirate-bedroom-1.jpg ,http://1.design-milk.com/images/2011/03/pirate-bedroom-1.jpg,5,1,Active,,,Design,Andre
55,Design Milk,,http://1.design-milk.com/images/2011/01/biscuit-95-yacht-1.jpg ,http://1.design-milk.com/images/2011/01/biscuit-95-yacht-1.jpg,5,1,Active,,,Design,Andre
56,Design Milk,,http://3.design-milk.com/images/2010/12/house-in-guimaraes-1.jpg ,http://3.design-milk.com/images/2010/12/house-in-guimaraes-1.jpg,5,1,Active,,,Design,Andre
57,Design Milk,,http://2.design-milk.com/images/2010/12/prater-street-1.jpg ,http://2.design-milk.com/images/2010/12/prater-street-1.jpg,5,1,Active,,,Design,Andre
58,Design Milk,,http://0.design-milk.com/images/2010/12/caiano_morgado_warborn_30.jpg ,http://0.design-milk.com/images/2010/12/caiano_morgado_warborn_30.jpg,5,1,Active,,,Design,Andre
59,Design Milk,,http://1.design-milk.com/images/2010/11/House_Pacdearcos_Mealha_2.jpg ,http://1.design-milk.com/images/2010/11/House_Pacdearcos_Mealha_2.jpg,5,1,Active,,,Design,Andre
60,Design Milk,,http://3.design-milk.com/images/2010/10/balancing-barn-1.jpg ,http://3.design-milk.com/images/2010/10/balancing-barn-1.jpg,5,1,Active,,,Design,Andre
,Jane McGonigal: The game that can give you 10 extra years of life,,http://www.ted.com/talks/jane_mcgonigal_the_game_that_can_give_you_10_extra_years_of_life.html ,http://images.ted.com/images/ted/519bf26cf8a81aba51b2a8a0be33d13145a0afe9_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Pam Warhurst: How we can eat our landscapes,,http://www.ted.com/talks/pam_warhurst_how_we_can_eat_our_landscapes.html,http://images.ted.com/images/ted/fde8f7d2016e6b40c8d02d218fd2a96feab6db25_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Rob Legato: The art of creating awe,,http://www.ted.com/talks/rob_legato_the_art_of_creating_awe.html,http://images.ted.com/images/ted/38cc7c1796085940748a1b7c69138d24b649a9b5_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Mark Applebaum: The mad scientist of music,,http://www.ted.com/talks/mark_applebaum_the_mad_scientist_of_music.html,http://images.ted.com/images/ted/a5b96e266216cd84e407142eb2d06650aad5c40e_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Adam Sadowsky engineers a viral music video,,http://www.ted.com/talks/adam_sadowsky_engineers_a_viral_music_video.html,http://images.ted.com/images/ted/175544_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Michael Anti: Behind the Great Firewall of China,,http://www.ted.com/talks/michael_anti_behind_the_great_firewall_of_china.html,http://images.ted.com/images/ted/21cfdf7c11fdeaa2a4cfbffd24997ba2aa6f0830_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Bryan Stevenson: We need to talk about an injustice,,http://www.ted.com/talks/lang/en/bryan_stevenson_we_need_to_talk_about_an_injustice.html,http://images.ted.com/images/ted/440f0b346bf91d4eafaae0906597d4e31061365c_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Susan Cain: The power of introverts,,http://www.ted.com/talks/lang/en/susan_cain_the_power_of_introverts.html,http://images.ted.com/images/ted/a259f8620ed5aac4f7a7d24b2a2a83e54ccb6e4c_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Rob Reid: The $8 billion iPod,,http://www.ted.com/talks/lang/en/rob_reid_the_8_billion_ipod.html,http://images.ted.com/images/ted/b0e8494bcbe5260e0b1900f2df3a02626af909ab_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Andrew Stanton: The clues to a great story,,http://www.ted.com/talks/lang/en/andrew_stanton_the_clues_to_a_great_story.html,http://images.ted.com/images/ted/eb679cf1ed0afd31d96b80b0b2e657d4012a0e98_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Vijay Kumar: Robots that fly ... and cooperate,,http://www.ted.com/talks/lang/en/vijay_kumar_robots_that_fly_and_cooperate.html,http://images.ted.com/images/ted/8aa84e7e5d405e75f19fc51bf6f9918312fff4e5_389x292.jpg,2,1,Active,,,Knowledge,Andre
,Inside North Korea - VICE Travel - Part 1 of 3 ,,http://www.youtube.com/watch?v=24R8JObNNQ4 ,http://i3.ytimg.com/vi/24R8JObNNQ4/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
,Inside North Korea - VICE Travel - Part 2 of 3 ,,http://www.youtube.com/watch?v=xw46Ll-Zy4s&feature=relmfu ,http://i1.ytimg.com/vi/xw46Ll-Zy4s/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
,Inside North Korea - VICE Travel - Part 3 of 3 ,,http://www.youtube.com/watch?v=3HJj85K_7MQ&feature=relmfu ,http://i4.ytimg.com/vi/3HJj85K_7MQ/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
, Football's Most Dangerous Rivalry ,,http://www.youtube.com/watch?v=cggTbCcbcNA&feature=relmfu ,http://i4.ytimg.com/vi/cggTbCcbcNA/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
,Teenage Heroin Epidemic ,,http://www.youtube.com/watch?v=aIbpt1aDFqM&feature=relmfu ,http://i2.ytimg.com/vi/aIbpt1aDFqM/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
,Krokodil: Russia's Deadliest Drug (NSFW) ,,http://www.youtube.com/watch?v=JsUH8llvTZo&feature=relmfu ,http://i3.ytimg.com/vi/JsUH8llvTZo/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
,How to Buy Nukes on the Black Market,,http://www.youtube.com/watch?v=0c4f4NJSB_4&feature=relmfu ,http://i1.ytimg.com/vi/0c4f4NJSB_4/hqdefault.jpg,2,1,Active,,,Knowledge,Andre
