id,title,about_text,link_url,thumb_url,category_id,author_id,status,post_date,tags,Category (not in DB),Author(not in DB)
1.0,It's Nice That,asdfasdf,http://asset3.itsnicethat.com/system/files/072012/4ff57dcf5c3e3c39a6002f81/img_col_main/LEAD.jpg?1341492401,http://asset3.itsnicethat.com/system/files/072012/4ff57dcf5c3e3c39a6002f81/img_col_main/LEAD.jpg?1341492401,5,1,Active,,,Design,Andre
2.0,It's Nice That,,http://asset3.itsnicethat.com/system/files/052012/4fc79a805c3e3c418100e676/img_col_main/SP.jpg?1338481278 ,http://asset3.itsnicethat.com/system/files/052012/4fc79a805c3e3c418100e676/img_col_main/SP.jpg?1338481278,5,1,Active,,,Design,Andre
3.0,Archidose Blog,,http://archidose.org/wp/wp-content/uploads/2012/08/Aug12-06.jpg ,http://archidose.org/wp/wp-content/uploads/2012/08/Aug12-06.jpg,5,1,Active,,,Design,Andre
4.0,Archidose Blog,,http://farm9.staticflickr.com/8156/7486695504_7f7f88ff17_z.jpg ,http://farm9.staticflickr.com/8156/7486695504_7f7f88ff17_z.jpg,5,1,Active,,,Design,Andre
5.0,Archidose Blog,,http://www.flickr.com/photos/kenlee2010/7486695688/ ,http://farm9.staticflickr.com/8150/7486695688_f781459ae1_b.jpg,5,1,Active,,,Design,Andre
6.0,Archidose Blog,,http://farm9.staticflickr.com/8009/7512106246_e266a724c1_z.jpg ,http://farm9.staticflickr.com/8009/7512106246_e266a724c1_z.jpg,5,1,Active,,,Design,Andre
7.0,Archidose Blog,,http://www.flickr.com/photos/picturenarrative/7511660432/ ,http://farm8.staticflickr.com/7127/7511660432_e1a4627ec9_b.jpg,5,1,Active,,,Design,Andre
8.0,100 Percent Design,,http://www.100percentdesign.net/files/designshare/unstudio1_0.jpg?0 ,http://www.100percentdesign.net/files/designshare/unstudio1_0.jpg?0,5,1,Active,,,Design,Andre
9.0,100 Percent Design,,http://www.100percentdesign.net/files/designshare/unstudiomuseum2.jpg?0 ,http://www.100percentdesign.net/files/designshare/unstudiomuseum2.jpg?0,5,1,Active,,,Design,Andre
10.0,100 Percent Design,,http://www.100percentdesign.net/files/shanghaicentre-small.jpg?0 ,http://www.100percentdesign.net/files/shanghaicentre-small.jpg?0,5,1,Active,,,Design,Andre
